City,Facility,Address,Neighbourhood
Bowen Island,Bowen Children's Centre Childcare,NULL,NULL
Bowen Island,Bowen Island Kinderhaus,NULL,NULL
Brackendale,Brackendale Out of School Care,NULL,NULL
Brackendale,Garibaldi Highlands Out of School Care,NULL,NULL
Brackendale,Mamquam Out of School Care,NULL,NULL
Burnaby,Bee Daycare,NULL,NULL
Burnaby,Brentwood Nursery School,NULL,NULL
Burnaby,Burnaby South Child Care Centre,NULL,NULL
Burnaby,Cascade Heights YMCA Childcare + Kid's Club,NULL,NULL
Burnaby,Fairhaven Children's Centre,NULL,NULL
Burnaby,Metrotown YMCA Child Care,NULL,NULL
Burnaby,Montecito Child Care Center,NULL,NULL
Burnaby,Morley Child Care Centre,NULL,NULL
Burnaby,Ritchie Bros. Auctioneers Child Care,NULL,NULL
Burnaby,SFU Childcare Society,NULL,NULL
Burnaby,Variety Cariboo Children's Centre,NULL,NULL
Coquitlam,Hami's Playhouse Infant & Toddler,NULL,NULL
Coquitlam,Kid's Cottage Daycare Society,NULL,NULL
Coquitlam,Little Scholars YMCA Child Care,NULL,NULL
Coquitlam,Shining Star Daycare,NULL,NULL
Coquitlam,Step Together Learning Centre,NULL,NULL
Delta,Happy Castle Child Care,NULL,NULL
Gibsons,Esprit Daycare,NULL,NULL
Gibsons,Gibsons YMCA Childcare,NULL,NULL
Gibsons,Huckleberry Childcare,NULL,NULL
New Westminster,K.I.D.S. Childcare Victoria Hill Location,NULL,NULL
New Westminster,Kids Zone Family Daycare,NULL,NULL
North Vancouver,Capilano University Children's Centre - Class 2,NULL,NULL
North Vancouver,Highlands Early Learning Centre,NULL,NULL
North Vancouver,North Shore Neighbourhood House,NULL,NULL
North Vancouver,North Shore Neighbourhood House Novaco Daycare,NULL,NULL
North Vancouver,NSNH - Centreview Child Care Centre,NULL,NULL
North Vancouver,NSNH - Learning Together Child Care Centre,NULL,NULL
North Vancouver,Parkgate Child and Family Centre,NULL,NULL
North Vancouver,Seymour Heights Play-Based Programs,NULL,NULL
North Vancouver,Seymour School Aged Care,NULL,NULL
North Vancouver,Sutherland Early Learning Childcare Centre,NULL,NULL
North Vancouver,Tsleil-Waututh Child & Family Development Centre,NULL,NULL
Pemberton,Pemberton Out of School Care,NULL,NULL
Pemberton,Pemberton Children's Centre,NULL,NULL
Port Coquitlam,Hami's Playhouse Infant and Toddler Inc,NULL,NULL
Port Coquitlam,Les P'tits Lutins,NULL,NULL
Port Moody,Our Hamlet Childcare,NULL,NULL
Richmond,Alderwood House - London Little Class,NULL,NULL
Richmond,Alderwood House North River,NULL,NULL
Richmond,Baby Steps Infant and Toddler Care,NULL,NULL
Richmond,Cook Road Children's Centre,NULL,NULL
Richmond,Kiddo House Child Care Centre,NULL,NULL
Richmond,Little Friends Childcare Centre,NULL,NULL
Richmond,Little Wings Daycare,NULL,NULL
Richmond,Riverside Child Development Centre,NULL,NULL
Richmond,Seasong Child Care Centre,NULL,NULL
Richmond,Sprouts YMCA Child Care Centre,NULL,NULL
Richmond,Tomsett YMCA Child Care,NULL,NULL
Richmond,West Cambie Childrens Centre,NULL,NULL
Richmond,Bowling Green Road Children's Centre,NULL,NULL
Richmond,Cranberry Children's Centre,NULL,NULL
Richmond,Gardens Children's Centre,NULL,NULL
Richmond,Terra Nova Children's Centre,NULL,NULL
Sechelt,Little Scholars Child Care,NULL,NULL
Sechelt,Sechelt YMCA Child Care Centre,NULL,NULL
Sechelt,Sunshine Coast Tiny Tots,NULL,NULL
Squamish,Dandelions and Dragonflies Child Care Programs,NULL,NULL
Squamish,Discovery Kids Childcare,NULL,NULL
Squamish,Squamish Out of School Care,NULL,NULL
Squamish,Valleycliffe Out of School Care,NULL,NULL
Squamish,Brackendale Childcare Program,NULL,NULL
Surrey,A Place to Grow Childcare Centre,NULL,NULL
Surrey,Alexandra Neighbourhood House Children's Centre at Crescent Beach,NULL,NULL
Surrey,Alexandra Neighbourhood House Children's Centre at Crescent Park,NULL,NULL
Surrey,Alexandra Neighbourhood House Children's Centres - Kensington Prairie,NULL,NULL
Surrey,"Crescent Beach Tiny ""Y""",NULL,NULL
Surrey,First Step Daycare Centre,NULL,NULL
Surrey,GCA Montessori,NULL,NULL
Surrey,Goldstone Learning Centres,NULL,NULL
Surrey,Hub Daycare at Oak Avenue,NULL,NULL
Surrey,Maxxine Wright Early Care & Learning Centre,NULL,NULL
Surrey,The Centre for Child Development Preschool and Child Care,NULL,NULL
Surrey,YMCA City Hall Child Care,NULL,NULL
Surrey,Young Climbers Childcare,NULL,NULL
Vancouver,Acadia Day Care Centre,"2865 Revelstoke Ct, Vancouver, BC V6T 2E6",NULL
Vancouver,Atelier Children's Centre,"825 Homer St, Vancouver, BC V6B 0H4",NULL
Vancouver,Auklet Group Day Care,"5615 Osoyoos Crescent, Vancouver, BC V6T 1N8",NULL
Vancouver,Barish (3-5),"7Q57+WV Vancouver, British Columbia",NULL
Vancouver,Bayshore Gardens Children's Centre,"10640 No 5 Rd, Richmond, BC V6W 0B5",NULL
Vancouver,Beach YMCA Child Care Centre,"1475 Burrard St, Vancouver, BC V6Z 3B5",NULL
Vancouver,Berwick Child Development Centre,"2765 Osoyoos Crescent, Vancouver, BC V6T 1X7",NULL
Vancouver,Boat Daycare,"2908 Victoria Dr, Vancouver, BC V5N 4L8",NULL
Vancouver,Bob and Kay Ackles YMCA Nanook House,"1255 E 10th Ave, Vancouver, BC V5T 1Y7",NULL
Vancouver,Britannia School Age Child Care,"7WFH+MR, Vancouver, BC V5L 2R3",NULL
Vancouver,Canada Goose Daycare Centre,"5590 Osoyoos Crescent, Vancouver, BC V6T 2E6",NULL
Vancouver,Caribou (GDC 0-3),"2329 West Mall, Vancouver, BC V6T 1Z4",NULL
Vancouver,Caribou (GDC 3-5),"2329 West Mall, Vancouver, BC V6T 1Z4",NULL
